Model: {'serial': 'model_20231126164846', 'input_memory': 72, 'head_size': 2, 'num_heads': 4, 'ff_dim': 2, 'mlp_units': 16, 'ST_RMSE': 1.0639648753712465, 'RMSE': 1.2704533371910545, 'MAE': 2.9147025115693035}
Model: {'serial': 'model_20231126164951', 'input_memory': 72, 'head_size': 2, 'num_heads': 4, 'ff_dim': 2, 'mlp_units': 8, 'ST_RMSE': 1.0148170709154594, 'RMSE': 1.1245469874642526, 'MAE': 2.737206174735303}
Model: {'serial': 'model_20231126165055', 'input_memory': 72, 'head_size': 2, 'num_heads': 2, 'ff_dim': 10, 'mlp_units': 32, 'ST_RMSE': 1.2643570307854304, 'RMSE': 1.5604723296403489, 'MAE': 5.637538462538069}
Model: {'serial': 'model_20231126165158', 'input_memory': 72, 'head_size': 2, 'num_heads': 2, 'ff_dim': 10, 'mlp_units': 16, 'ST_RMSE': 1.1342159510686325, 'RMSE': 1.5793881305290216, 'MAE': 4.046986698190277}
Model: {'serial': 'model_20231126165301', 'input_memory': 72, 'head_size': 2, 'num_heads': 2, 'ff_dim': 10, 'mlp_units': 8, 'ST_RMSE': 1.1977851109440343, 'RMSE': 1.2212337019229296, 'MAE': 3.0463037426539192}
Model: {'serial': 'model_20231126165356', 'input_memory': 72, 'head_size': 2, 'num_heads': 2, 'ff_dim': 5, 'mlp_units': 32, 'ST_RMSE': 0.9830998798322931, 'RMSE': 1.0991389148860407, 'MAE': 3.1445407052639305}
Model: {'serial': 'model_20231126165448', 'input_memory': 72, 'head_size': 2, 'num_heads': 2, 'ff_dim': 5, 'mlp_units': 16, 'ST_RMSE': 1.2835629745222936, 'RMSE': 1.4096409169310558, 'MAE': 3.2778009488786886}
Model: {'serial': 'model_20231126165533', 'input_memory': 72, 'head_size': 2, 'num_heads': 2, 'ff_dim': 5, 'mlp_units': 8, 'ST_RMSE': 1.2757151116713439, 'RMSE': 1.3949671361987912, 'MAE': 3.2349039644165134}
Model: {'serial': 'model_20231126165633', 'input_memory': 72, 'head_size': 2, 'num_heads': 2, 'ff_dim': 2, 'mlp_units': 32, 'ST_RMSE': 0.7818661181692546, 'RMSE': 0.7010327383478729, 'MAE': 1.9257661672307933}
Model: {'serial': 'model_20231126165701', 'input_memory': 72, 'head_size': 2, 'num_heads': 2, 'ff_dim': 2, 'mlp_units': 16, 'ST_RMSE': 1.205285143199827, 'RMSE': 1.7669534665180389, 'MAE': 4.309444321142642}
Model: {'serial': 'model_20231126165808', 'input_memory': 72, 'head_size': 2, 'num_heads': 2, 'ff_dim': 2, 'mlp_units': 8, 'ST_RMSE': 0.5922392380654593, 'RMSE': 1.2667155155793541, 'MAE': 6.064875990553016}
Model: {'serial': 'model_20231126165836', 'input_memory': 48, 'head_size': 8, 'num_heads': 8, 'ff_dim': 10, 'mlp_units': 32, 'ST_RMSE': 0.849591709856345, 'RMSE': 1.9854207557050214, 'MAE': 5.6193264897063315}
Model: {'serial': 'model_20231126165918', 'input_memory': 48, 'head_size': 8, 'num_heads': 8, 'ff_dim': 10, 'mlp_units': 16, 'ST_RMSE': 1.1883349094151976, 'RMSE': 1.243539242287341, 'MAE': 2.861452840974011}
Model: {'serial': 'model_20231126170009', 'input_memory': 48, 'head_size': 8, 'num_heads': 8, 'ff_dim': 10, 'mlp_units': 8, 'ST_RMSE': 0.9032745524780016, 'RMSE': 1.2509251036319144, 'MAE': 3.1011049859980457}
Model: {'serial': 'model_20231126170054', 'input_memory': 48, 'head_size': 8, 'num_heads': 8, 'ff_dim': 5, 'mlp_units': 32, 'ST_RMSE': 1.363648961150971, 'RMSE': 1.6736205902049823, 'MAE': 3.7537497650244593}
Model: {'serial': 'model_20231126170140', 'input_memory': 48, 'head_size': 8, 'num_heads': 8, 'ff_dim': 5, 'mlp_units': 16, 'ST_RMSE': 0.7371521959533189, 'RMSE': 1.0720243430719434, 'MAE': 2.283163012525005}
Model: {'serial': 'model_20231126170212', 'input_memory': 48, 'head_size': 8, 'num_heads': 8, 'ff_dim': 5, 'mlp_units': 8, 'ST_RMSE': 0.8739845470842008, 'RMSE': 1.4414665298736666, 'MAE': 3.6254031482274867}
Model: {'serial': 'model_20231126170255', 'input_memory': 48, 'head_size': 8, 'num_heads': 8, 'ff_dim': 2, 'mlp_units': 32, 'ST_RMSE': 1.2161909721765383, 'RMSE': 1.272360112910854, 'MAE': 2.8982767249724617}
Model: {'serial': 'model_20231126170342', 'input_memory': 48, 'head_size': 8, 'num_heads': 8, 'ff_dim': 2, 'mlp_units': 16, 'ST_RMSE': 0.8883650715084236, 'RMSE': 1.3476830571583578, 'MAE': 3.317212896991774}
Model: {'serial': 'model_20231126170424', 'input_memory': 48, 'head_size': 8, 'num_heads': 8, 'ff_dim': 2, 'mlp_units': 8, 'ST_RMSE': 1.1155212840972575, 'RMSE': 1.0222265443719993, 'MAE': 2.2621245833114605}
Model: {'serial': 'model_20231126170511', 'input_memory': 48, 'head_size': 8, 'num_heads': 4, 'ff_dim': 10, 'mlp_units': 32, 'ST_RMSE': 1.3037764881248122, 'RMSE': 1.634273316304725, 'MAE': 3.4050544794982134}
